source,destination,distance_km,days,transport,hotel_type,people,season,trip_type,group_type,travel_cost,hotel_cost,food_cost,total_cost,budget_category
Jaipur,Chennai,1946,1,flight,4-star,5,peak,medium,solo,23215,11312,4757,58895,high
Pune,Jaipur,608,6,flight,3-star,2,normal,long,solo,2704,10188,6679,29287,medium
Hyderabad,Mumbai,624,3,train,2-star,1,peak,medium,couple,778,1996,1152,4617,low
Hyderabad,Kolkata,1132,1,flight,4-star,1,peak,long,couple,2753,3921,924,11373,high
Bangalore,Pune,798,4,bus,2-star,4,peak,long,family,2781,5912,5965,14130,low
Bangalore,Goa,859,3,flight,5-star,4,normal,long,solo,7574,23320,14411,67930,high
Chennai,Jaipur,410,1,flight,5-star,2,peak,medium,couple,2010,6552,2706,16874,high
Pune,Hyderabad,220,7,bus,5-star,4,off,long,family,619,65957,30546,93437,medium
Mumbai,Pune,927,4,flight,5-star,5,peak,medium,couple,10927,61815,26374,148269,high
Delhi,Mumbai,781,3,flight,3-star,5,peak,long,solo,9325,12921,9045,46915,medium
Bangalore,Kolkata,414,2,train,4-star,3,peak,short,couple,1499,7711,5584,17413,medium
Bangalore,Kochi,121,1,flight,5-star,5,peak,long,solo,1478,19684,6408,41328,high
Jaipur,Pune,1470,6,train,3-star,5,off,long,couple,7260,26041,14928,56833,low
Mumbai,Kochi,1710,2,train,3-star,5,normal,short,solo,9266,6014,5608,24586,medium
Kolkata,Delhi,1975,7,train,2-star,3,off,long,family,5782,9874,6571,26159,low
Mumbai,Delhi,577,7,bus,5-star,4,off,medium,family,1705,64445,29858,92499,medium
Goa,Chennai,1307,6,train,3-star,2,peak,medium,couple,3195,10928,7168,25069,medium
Kolkata,Kochi,1876,6,train,3-star,3,normal,medium,solo,6146,19986,10099,42632,medium
Hyderabad,Goa,993,6,bus,4-star,4,normal,medium,couple,3085,35012,20591,56509,medium
Goa,Jaipur,1163,6,bus,5-star,1,peak,short,couple,1026,33648,7911,40968,high
Kochi,Bangalore,1758,3,bus,2-star,4,off,medium,family,5049,3268,3785,11652,low
Goa,Hyderabad,1109,4,train,5-star,1,peak,long,couple,1334,19953,5228,31200,high
Mumbai,Kochi,1229,7,train,2-star,5,off,medium,solo,6027,14464,11248,37352,low
Pune,Delhi,1263,3,flight,4-star,3,off,medium,solo,7139,12674,6888,40026,medium
Kochi,Goa,1000,5,bus,3-star,4,off,medium,couple,2807,14466,9970,26230,low
Jaipur,Hyderabad,1669,6,train,4-star,2,peak,long,couple,4074,18484,11449,40064,medium
Chennai,Jaipur,1792,2,train,2-star,2,normal,medium,solo,3898,909,1415,7323,low
Mumbai,Bangalore,1876,1,train,3-star,4,normal,medium,couple,8145,4039,2187,16920,medium
Kolkata,Jaipur,593,1,train,2-star,5,normal,long,couple,3160,2747,1729,8992,low
Kochi,Hyderabad,1847,3,train,5-star,2,off,short,couple,3610,10734,6506,24546,medium
Kochi,Chennai,423,4,train,3-star,3,normal,long,solo,1394,12098,6467,23493,low
Mumbai,Pune,1242,7,bus,3-star,1,off,long,solo,884,10781,3563,14660,medium
Delhi,Mumbai,508,7,bus,3-star,3,off,medium,family,1095,21951,10401,32186,low
Pune,Jaipur,1799,6,train,3-star,1,normal,long,family,1964,9962,3291,17914,medium
Chennai,Kolkata,331,7,train,3-star,1,peak,medium,family,404,13472,4257,21319,medium
Delhi,Kolkata,517,3,train,4-star,2,off,long,couple,1041,6208,4561,13907,medium
Goa,Delhi,1082,5,train,4-star,2,normal,medium,couple,2354,14066,8454,29276,medium
Kochi,Jaipur,1303,2,train,3-star,2,normal,long,couple,2897,1972,2201,8320,medium
Kolkata,Hyderabad,1296,2,train,5-star,1,normal,short,couple,1440,5814,2476,11458,high
Jaipur,Mumbai,981,2,train,2-star,1,normal,long,family,1074,872,701,3117,low
Chennai,Kochi,481,6,bus,2-star,3,off,medium,solo,1039,8090,5754,14327,low
Delhi,Goa,545,1,flight,5-star,5,peak,long,family,6668,19888,6644,49712,high
Kochi,Jaipur,1838,1,flight,2-star,1,off,medium,couple,3633,831,308,7147,high
Pune,Hyderabad,1432,7,flight,4-star,5,peak,short,couple,17363,69367,33124,179491,high
Delhi,Kolkata,415,3,flight,2-star,1,off,medium,family,811,1577,947,5000,low
Pune,Jaipur,900,2,flight,5-star,4,off,short,couple,7158,11041,8475,39946,medium
Kochi,Kolkata,955,3,flight,3-star,4,normal,short,family,8549,8284,6562,35007,medium
Kolkata,Bangalore,1895,1,bus,5-star,1,off,medium,family,1337,5367,1080,7499,high
Hyderabad,Chennai,1316,3,bus,5-star,1,normal,medium,family,1061,11893,3683,16021,high
Kolkata,Bangalore,942,2,bus,3-star,2,normal,medium,family,1482,1947,2236,5457,low
Delhi,Hyderabad,930,4,flight,4-star,2,off,medium,family,3557,9421,6406,29023,medium
Pune,Bangalore,575,6,bus,5-star,1,off,short,solo,413,26546,6474,32224,high
Delhi,Mumbai,983,6,flight,2-star,3,off,medium,family,5834,8119,5726,29471,low
Goa,Kolkata,1309,3,train,5-star,4,normal,medium,solo,5669,24607,14452,52600,medium
Goa,Mumbai,438,4,bus,3-star,4,normal,long,couple,1416,11886,8969,21442,low
Delhi,Hyderabad,254,3,flight,4-star,2,off,medium,family,1001,6326,4525,17757,medium
Kolkata,Jaipur,1391,6,train,4-star,5,peak,long,family,8289,58346,27863,111202,medium
Mumbai,Hyderabad,348,7,bus,5-star,5,off,medium,solo,1236,96262,38196,130707,medium
Kolkata,Bangalore,575,3,train,4-star,4,normal,short,couple,2506,13975,10202,31409,medium
Delhi,Bangalore,1325,1,flight,2-star,4,off,long,family,10192,1584,1266,19569,medium
Chennai,Pune,1123,3,train,3-star,2,peak,short,couple,2687,4469,3682,12749,medium
Chennai,Delhi,1301,7,flight,5-star,2,peak,short,family,6364,40680,18456,98008,high
Pune,Kochi,1940,4,bus,5-star,4,off,medium,solo,5641,32115,17915,53585,medium
Hyderabad,Delhi,1118,2,flight,4-star,1,peak,short,solo,2786,3850,1880,12747,high
Kochi,Jaipur,1672,7,flight,5-star,5,peak,long,family,20643,118537,45744,277046,high
Mumbai,Hyderabad,906,7,train,4-star,4,normal,medium,couple,4038,42049,23865,82320,medium
Kolkata,Chennai,1534,4,train,3-star,5,peak,medium,solo,9164,19289,12142,47824,medium
Mumbai,Chennai,204,7,train,5-star,3,normal,short,couple,682,71756,25742,115534,high
Jaipur,Kochi,437,3,train,3-star,4,normal,long,couple,1902,7873,6593,19276,low
Jaipur,Goa,1937,5,train,2-star,3,normal,medium,family,6384,7283,5188,22190,low
Bangalore,Mumbai,1383,4,flight,5-star,1,peak,short,solo,3415,20384,5276,43489,high
Bangalore,Pune,1866,1,train,5-star,1,normal,medium,couple,2091,5904,1219,10847,high
Kolkata,Pune,1773,2,flight,3-star,4,peak,long,couple,17432,4456,4838,40003,high
Pune,Goa,751,6,bus,2-star,3,normal,short,solo,1722,8913,6240,16264,low
Hyderabad,Chennai,1067,7,train,2-star,4,peak,medium,couple,5088,11901,10712,32612,low
Kochi,Goa,1830,3,flight,5-star,1,normal,short,family,3976,11809,3561,29006,high
Pune,Delhi,1137,5,bus,5-star,3,off,medium,solo,2497,42771,16074,59103,medium
Pune,Kolkata,513,6,flight,5-star,3,peak,long,couple,3698,66335,23922,140697,high
Delhi,Goa,1367,5,bus,4-star,2,peak,long,couple,2296,15635,9551,26443,medium
Goa,Kolkata,1712,2,bus,2-star,5,normal,long,family,6740,2660,3476,12410,low
Pune,Hyderabad,1281,5,flight,5-star,1,normal,medium,family,2786,24080,5824,48981,high
Jaipur,Pune,424,6,train,5-star,2,off,short,couple,825,27623,12779,48490,medium
Bangalore,Goa,740,3,bus,3-star,4,off,medium,couple,2170,7238,5778,14628,low
Kochi,Bangalore,404,2,bus,2-star,1,peak,short,solo,358,988,764,2032,low
Chennai,Mumbai,606,2,flight,4-star,2,normal,long,family,2676,3524,3436,14426,medium
Delhi,Kolkata,1554,3,flight,4-star,2,normal,medium,couple,6958,7042,4994,28446,medium
Goa,Mumbai,1899,3,bus,2-star,2,peak,short,couple,3318,2067,2335,7428,low
Delhi,Jaipur,1779,7,train,3-star,1,normal,medium,family,2026,12251,3863,21324,medium
Bangalore,Kochi,636,5,train,4-star,5,peak,short,family,3865,46174,22765,85737,medium
Delhi,Kochi,1370,7,flight,2-star,4,normal,medium,solo,12059,10996,9711,49071,low
Bangalore,Delhi,240,5,bus,5-star,3,off,long,solo,521,43751,15978,57999,medium
Chennai,Pune,686,3,train,5-star,4,peak,medium,solo,3297,25996,15644,52938,medium
Jaipur,Goa,958,7,train,2-star,4,off,long,family,3720,9588,9007,26265,low
Mumbai,Bangalore,812,1,flight,2-star,3,peak,medium,family,5814,1983,1146,13405,medium
Chennai,Goa,242,2,flight,5-star,1,off,long,couple,487,5506,2187,12238,high
Kolkata,Pune,1510,6,flight,3-star,1,off,short,family,3003,8968,2916,22307,medium
Jaipur,Goa,890,7,flight,5-star,4,off,short,solo,7254,64061,30541,152602,high
Mumbai,Pune,1787,1,flight,3-star,3,normal,short,family,11981,3966,1675,26380,high
Goa,Jaipur,115,6,flight,4-star,3,off,short,solo,690,32316,13673,69853,medium
Kochi,Bangalore,550,2,bus,5-star,5,off,long,family,1941,16077,10833,27791,medium
Jaipur,Goa,1497,1,train,4-star,3,peak,long,solo,5438,7654,2724,18624,high
Kochi,Jaipur,836,4,train,2-star,2,peak,medium,solo,2037,3057,3101,9636,low
Jaipur,Pune,510,5,train,5-star,1,normal,short,couple,566,24206,6035,36240,high
Jaipur,Kochi,1268,1,flight,5-star,5,peak,short,solo,15557,19917,6569,62949,high
Kochi,Pune,1934,2,bus,4-star,3,normal,short,couple,4586,6973,5124,16068,medium
Delhi,Bangalore,995,2,bus,2-star,2,peak,short,couple,1742,994,1550,4126,low
Mumbai,Pune,1444,4,train,2-star,5,off,long,solo,7237,7430,6307,24667,low
Goa,Hyderabad,559,3,flight,4-star,3,off,long,family,3255,12534,6889,33983,medium
Hyderabad,Bangalore,1038,2,train,2-star,5,off,long,family,4996,2480,3156,12520,low
Goa,Pune,190,5,bus,4-star,4,off,long,solo,550,25716,15155,39864,low
Chennai,Bangalore,1625,4,bus,5-star,5,off,medium,family,5900,48519,21540,73153,medium
Delhi,Chennai,778,5,train,4-star,5,off,short,solo,3806,38744,19017,72403,medium
Kochi,Jaipur,235,3,flight,3-star,4,off,long,solo,1880,6997,6045,22360,low
Kolkata,Goa,456,4,flight,4-star,1,off,long,solo,917,9463,3049,20113,high
Jaipur,Delhi,1224,3,train,3-star,3,off,long,couple,3657,7447,4337,18162,medium
Kolkata,Goa,388,6,bus,3-star,4,off,short,couple,1130,17753,11876,29635,low
Hyderabad,Pune,1293,7,flight,3-star,4,peak,short,solo,12469,26230,16937,83363,medium
Pune,Kochi,1195,6,bus,4-star,4,off,long,family,3383,31986,17865,51268,medium
Jaipur,Pune,1632,2,flight,4-star,2,peak,short,couple,7962,3831,3674,23171,high
Goa,Mumbai,995,1,flight,5-star,5,off,long,solo,9880,15821,5403,46627,high
Kochi,Bangalore,1600,7,bus,3-star,2,normal,medium,solo,2505,12083,7593,21365,low
Delhi,Mumbai,1573,1,bus,5-star,1,normal,medium,family,1249,6026,1186,8147,high
Delhi,Goa,1791,7,train,2-star,4,normal,short,couple,7873,10554,9892,33343,low
Bangalore,Chennai,267,7,train,2-star,5,normal,short,solo,1507,16878,12266,36019,low
Chennai,Delhi,1059,5,flight,5-star,5,off,medium,solo,10608,63069,27608,151821,high
Mumbai,Pune,1336,4,bus,4-star,4,off,medium,solo,3892,18762,12467,33813,medium
Pune,Kochi,138,4,train,4-star,1,peak,short,couple,166,11470,3766,18131,medium
Delhi,Hyderabad,1705,7,bus,5-star,4,peak,short,solo,5905,80413,36374,118118,medium
Bangalore,Pune,1295,5,flight,2-star,4,off,long,family,10094,6391,6371,34255,low
Delhi,Hyderabad,501,1,bus,4-star,4,off,long,solo,1429,6172,3032,10250,medium
Jaipur,Goa,1993,3,flight,3-star,3,normal,medium,family,13147,7858,4864,38774,medium
Bangalore,Kochi,1227,5,train,3-star,1,normal,medium,solo,1392,7896,2736,14157,medium
Hyderabad,Chennai,1596,6,flight,5-star,5,peak,short,solo,19205,98374,39969,236041,high
Chennai,Pune,1901,7,train,3-star,3,off,short,family,5726,21500,10202,44068,medium
Delhi,Hyderabad,476,6,bus,3-star,5,normal,short,family,1940,29957,16928,46991,low
Goa,Jaipur,1124,4,train,2-star,1,peak,short,couple,1314,2978,1584,6914,low
Goa,Jaipur,849,4,bus,2-star,3,peak,medium,couple,2229,5919,4640,12315,low
Pune,Bangalore,223,6,bus,3-star,4,normal,medium,solo,707,19906,13133,32507,low
Delhi,Goa,512,6,train,5-star,3,peak,short,couple,1841,67216,23924,109333,high
Kochi,Jaipur,291,4,flight,2-star,4,off,long,solo,2313,4918,5020,18347,low
Chennai,Kolkata,522,2,bus,4-star,3,normal,medium,solo,1238,6936,5100,12787,medium
Hyderabad,Mumbai,1200,7,flight,4-star,3,off,medium,solo,7014,37516,15940,90634,medium
Kolkata,Chennai,936,3,train,4-star,3,peak,short,family,3505,14759,8392,31416,medium
Mumbai,Chennai,1180,6,bus,3-star,4,normal,long,solo,3873,20036,13349,35861,low
Mumbai,Bangalore,1832,7,train,2-star,4,peak,short,family,8880,11761,10417,36590,low
Kochi,Hyderabad,1098,6,train,2-star,3,normal,long,family,3634,8895,6224,22084,low
Chennai,Mumbai,800,6,bus,3-star,3,normal,long,family,1905,20523,10257,31420,low
Goa,Delhi,293,4,flight,4-star,2,off,long,family,1164,9384,6011,24822,medium
Kochi,Kolkata,1174,6,bus,3-star,4,peak,medium,solo,4161,22588,14466,39654,low
Kolkata,Delhi,512,5,train,5-star,4,peak,long,couple,2389,53330,26790,97048,medium
Kolkata,Hyderabad,1282,7,bus,5-star,1,peak,medium,couple,1101,39704,9302,48243,high
Kochi,Delhi,435,5,flight,5-star,3,peak,medium,solo,3154,52173,20101,113023,high
Jaipur,Goa,143,2,bus,2-star,3,off,medium,solo,307,1583,1831,3589,low
Jaipur,Mumbai,1866,2,train,2-star,2,peak,medium,solo,4601,999,1542,8398,medium
Jaipur,Chennai,1483,2,train,3-star,5,normal,short,family,8102,5952,5411,22924,medium
Kolkata,Kochi,529,5,flight,2-star,5,off,short,couple,5203,9410,7788,33598,low
Bangalore,Pune,1270,1,flight,4-star,5,peak,long,solo,15295,11655,4672,47366,high
Chennai,Pune,1799,1,flight,3-star,1,normal,medium,couple,4004,2040,558,9879,high
Pune,Mumbai,1834,3,flight,4-star,2,normal,short,solo,8126,7001,5024,30186,high
Hyderabad,Kolkata,1758,4,train,5-star,2,normal,long,family,3910,18453,9649,37635,medium
Hyderabad,Mumbai,1120,7,bus,4-star,3,peak,long,couple,3041,45142,19295,65063,medium
Kolkata,Mumbai,504,1,flight,5-star,2,normal,long,couple,2246,6023,2447,16042,high
Kolkata,Chennai,1810,7,train,5-star,5,normal,long,family,9952,106593,41865,186566,high
Delhi,Hyderabad,1050,1,train,5-star,2,peak,medium,family,2482,6488,2678,13719,high
Bangalore,Goa,1560,7,bus,2-star,4,peak,medium,solo,5563,11944,10501,26980,low
Goa,Delhi,351,7,train,3-star,1,peak,short,solo,422,12957,4309,20831,medium
Kochi,Jaipur,349,5,train,3-star,5,off,long,family,1712,21248,12380,41622,low
Mumbai,Pune,1238,6,train,4-star,5,normal,medium,couple,6743,53668,25218,100721,medium
Goa,Kolkata,1640,4,flight,2-star,2,normal,short,family,7064,2612,2798,18709,medium
Hyderabad,Kochi,1908,4,bus,2-star,4,off,medium,family,5448,4755,5129,14768,low
Kolkata,Jaipur,1660,7,bus,2-star,2,normal,short,family,2682,5397,5000,12586,low
Mumbai,Hyderabad,1813,2,bus,2-star,2,normal,medium,solo,2929,888,1378,5003,low
Hyderabad,Mumbai,1872,3,train,4-star,1,normal,long,family,2084,7041,2556,13742,medium
Chennai,Kochi,223,2,train,4-star,3,off,short,family,653,6357,4537,13590,medium
Pune,Hyderabad,558,7,bus,5-star,4,normal,long,solo,1782,73562,33266,104513,medium
Bangalore,Delhi,772,6,bus,2-star,3,peak,short,couple,1989,9743,7033,18076,low
Bangalore,Mumbai,1973,5,bus,5-star,4,off,medium,solo,5703,43116,21435,67668,medium
Hyderabad,Mumbai,1917,2,bus,5-star,5,peak,short,couple,8496,19547,13260,39782,medium
Jaipur,Kolkata,235,5,bus,5-star,4,peak,short,family,818,52089,26147,76189,medium
Bangalore,Delhi,1855,4,train,4-star,5,normal,medium,couple,10145,31476,17060,69069,medium
Hyderabad,Goa,113,1,bus,5-star,3,peak,medium,family,281,13040,3936,16631,high
Chennai,Hyderabad,441,7,bus,3-star,2,peak,long,couple,793,12986,8490,21456,low
Jaipur,Hyderabad,619,4,train,2-star,5,off,medium,family,3132,7146,6337,19558,low
Kochi,Bangalore,1008,7,flight,4-star,2,off,short,solo,3943,18756,10580,49883,medium
Mumbai,Kolkata,200,2,flight,5-star,4,normal,short,family,1740,12489,9721,35819,medium
Kolkata,Pune,1242,4,bus,4-star,5,normal,long,family,5050,31732,16590,51402,medium
Hyderabad,Pune,1050,2,train,4-star,4,peak,long,solo,5112,7823,7384,23910,medium
Jaipur,Kochi,834,6,bus,5-star,1,off,short,couple,609,27285,6660,33245,high
Goa,Bangalore,898,3,flight,5-star,1,normal,short,solo,1963,11802,3580,26005,high
Hyderabad,Kolkata,514,1,bus,4-star,1,normal,long,family,420,3404,823,4482,medium
Delhi,Bangalore,204,1,bus,5-star,1,normal,medium,family,163,5960,1200,7054,high
Delhi,Goa,1525,4,flight,4-star,1,peak,short,family,3742,11454,3634,28221,high
Jaipur,Hyderabad,1340,1,train,2-star,1,peak,short,couple,1671,975,378,3556,medium
Kolkata,Mumbai,316,1,bus,2-star,2,off,medium,couple,462,805,629,1825,low
Kochi,Jaipur,1305,7,train,2-star,4,peak,medium,solo,6361,12073,10726,34306,low
Jaipur,Delhi,1361,7,flight,4-star,5,normal,medium,family,15312,60981,30089,159490,medium
Jaipur,Hyderabad,330,5,bus,5-star,5,normal,medium,couple,1303,73482,30063,100872,medium
Kolkata,Pune,1865,2,flight,4-star,2,off,short,solo,7310,3181,3100,20358,high
Goa,Jaipur,1117,2,flight,3-star,1,off,long,solo,2232,1772,982,7470,medium
Pune,Kolkata,1604,2,flight,5-star,4,off,long,couple,12702,10793,8737,48274,high
Pune,Mumbai,1441,1,bus,5-star,5,peak,long,solo,6148,19899,6571,31418,high
Kochi,Goa,322,1,train,3-star,2,peak,long,family,769,2175,1206,4887,medium
Kolkata,Hyderabad,1321,1,flight,5-star,5,off,medium,family,12371,16029,5329,50618,high
Chennai,Kolkata,1923,4,train,4-star,5,peak,medium,couple,11727,34231,18639,76059,medium
Kolkata,Pune,1122,1,flight,5-star,5,off,long,family,11364,16441,5473,49793,high
Pune,Hyderabad,1076,6,flight,4-star,1,off,medium,family,2114,15878,4573,33791,high
Pune,Jaipur,737,5,train,3-star,2,off,long,solo,1454,7244,4905,16010,low
Hyderabad,Goa,917,3,train,5-star,2,peak,short,couple,2268,13168,7993,27568,medium
Hyderabad,Goa,692,6,bus,2-star,2,off,medium,family,1018,4112,3700,8502,low
Jaipur,Delhi,1573,7,train,5-star,2,peak,medium,solo,3832,40105,18727,73695,high
Kochi,Chennai,1973,3,flight,3-star,5,peak,long,family,23474,13069,9210,68576,medium
Kochi,Bangalore,252,6,bus,2-star,3,normal,medium,family,597,8959,6448,15405,low
Goa,Bangalore,101,4,bus,5-star,5,off,medium,couple,363,48070,21315,67218,medium
Jaipur,Goa,1232,2,bus,2-star,2,off,long,solo,1782,793,1255,3689,low
Kolkata,Jaipur,870,5,bus,3-star,4,normal,long,family,2797,16311,11110,29071,low
Hyderabad,Mumbai,470,1,flight,2-star,4,off,short,couple,3682,1648,1254,9864,medium
Goa,Pune,302,5,train,5-star,1,normal,short,family,326,23938,6129,35767,high
Pune,Delhi,1306,1,train,2-star,4,peak,long,solo,6336,1980,1577,11639,medium
Hyderabad,Goa,1602,4,flight,4-star,3,peak,medium,solo,11380,22654,10948,67477,high
Delhi,Kochi,254,1,bus,5-star,3,normal,medium,solo,613,12029,3683,15713,high
Chennai,Bangalore,857,3,bus,5-star,5,normal,short,solo,3440,35781,18000,55116,medium
Kolkata,Pune,1881,5,bus,5-star,5,off,short,family,6783,63175,28097,94459,medium
Goa,Mumbai,1191,1,bus,2-star,5,off,medium,couple,4321,2437,1589,8034,low
Pune,Delhi,1279,2,flight,3-star,3,normal,medium,family,8531,3991,3268,23647,medium
Hyderabad,Mumbai,900,5,train,5-star,4,peak,long,solo,4395,53105,26079,98369,medium
Hyderabad,Kolkata,430,5,flight,4-star,2,normal,short,solo,1932,14061,8593,36810,medium
Delhi,Pune,1074,5,flight,2-star,1,normal,medium,couple,2412,3601,1758,11634,medium
Kolkata,Hyderabad,1704,5,bus,5-star,3,off,short,family,3725,42730,16213,60374,medium
Delhi,Bangalore,1606,2,flight,3-star,2,peak,medium,couple,7787,2168,2504,18656,medium
Kochi,Goa,1337,3,flight,5-star,5,peak,long,family,15836,38828,20190,112201,high
Hyderabad,Delhi,989,5,train,2-star,5,peak,long,family,6047,11697,9712,32318,low
Kochi,Hyderabad,166,5,flight,3-star,1,peak,medium,solo,410,8796,3142,18484,medium
Kolkata,Kochi,821,7,bus,5-star,1,normal,long,couple,639,36374,8546,43840,high
Delhi,Kolkata,1659,7,bus,2-star,3,off,short,couple,3631,9690,6586,19170,low
Jaipur,Mumbai,1472,2,flight,5-star,2,off,long,solo,5867,5466,4359,23492,high
Bangalore,Kochi,1563,4,train,5-star,2,peak,short,solo,3841,19497,10523,39875,medium
Delhi,Mumbai,1584,4,train,4-star,3,off,medium,couple,4638,18790,9319,38545,medium
Bangalore,Delhi,1285,1,train,2-star,2,peak,medium,family,3114,1028,772,5779,medium
Delhi,Jaipur,510,4,bus,2-star,5,peak,long,solo,2246,8924,7626,18103,low
Pune,Hyderabad,1942,1,train,2-star,5,peak,medium,solo,11738,3020,1928,19636,medium
Chennai,Goa,1460,4,bus,4-star,3,off,long,couple,3116,18637,9118,29751,medium
Delhi,Mumbai,1125,2,flight,4-star,5,peak,long,solo,13627,11756,9161,51742,high
Jaipur,Bangalore,121,5,flight,5-star,5,normal,medium,couple,1324,72155,29174,153840,high
Bangalore,Goa,526,5,train,5-star,2,off,short,family,1028,21379,10671,38959,medium
Jaipur,Bangalore,1295,7,flight,2-star,5,normal,long,couple,14286,16160,12147,63813,low
Delhi,Bangalore,1931,5,flight,3-star,2,normal,long,family,8550,8206,5635,33502,medium
Kolkata,Jaipur,1690,3,flight,4-star,4,off,long,couple,12998,12709,9155,52252,medium
Delhi,Bangalore,857,4,bus,2-star,3,off,short,family,1855,4830,3786,10084,low
Hyderabad,Kolkata,109,1,flight,2-star,5,off,medium,solo,1081,2408,1553,7555,low
Pune,Delhi,834,3,bus,5-star,2,peak,medium,family,1457,13246,7991,21847,medium
Goa,Mumbai,814,2,train,3-star,3,normal,long,solo,2720,3970,3314,11773,low
Goa,Bangalore,511,2,train,4-star,2,off,short,couple,1026,3205,3057,8572,medium
Kochi,Bangalore,1372,7,bus,3-star,4,off,medium,family,3938,21661,13620,37779,low
Goa,Delhi,537,6,train,2-star,2,peak,short,family,1295,5005,4664,12896,low
Mumbai,Bangalore,1122,5,train,3-star,3,peak,short,family,4056,17657,8962,36109,medium
Hyderabad,Mumbai,1721,6,train,4-star,3,off,long,couple,5165,31463,13713,59253,medium
Hyderabad,Kolkata,182,1,train,3-star,5,off,short,family,896,5394,2458,10298,medium
Mumbai,Pune,1563,1,flight,4-star,2,peak,short,family,7639,3827,1914,20032,high
Kochi,Kolkata,578,2,train,2-star,1,normal,long,couple,649,887,700,2631,low
Chennai,Goa,339,7,flight,4-star,3,normal,long,family,2215,41794,18386,93437,medium
Kochi,Delhi,1086,4,bus,4-star,3,off,medium,family,2334,19002,9254,29447,medium
Bangalore,Chennai,1713,7,bus,2-star,4,normal,short,couple,5399,10661,9622,24756,low
Kolkata,Kochi,344,6,train,5-star,4,off,short,solo,1344,51691,26131,93340,medium
Jaipur,Bangalore,1343,6,train,2-star,2,normal,medium,family,3045,4509,4110,13726,low
Mumbai,Jaipur,929,3,bus,4-star,4,normal,short,solo,2944,13903,10044,25913,medium
Kochi,Goa,1079,5,bus,2-star,4,off,short,couple,3147,6558,6190,15306,low
Pune,Kolkata,136,6,flight,2-star,5,peak,short,solo,1663,15190,11879,42973,low
Hyderabad,Chennai,1565,5,train,4-star,4,off,long,family,6463,24859,15948,55591,medium
Chennai,Jaipur,371,1,train,4-star,3,off,medium,family,1096,6244,2306,11356,medium
Mumbai,Kolkata,276,7,flight,3-star,5,peak,short,family,3310,39837,20755,95746,medium
Kolkata,Kochi,1886,4,flight,2-star,2,peak,short,solo,9095,3027,3077,22765,medium
Jaipur,Kolkata,1404,1,train,3-star,5,peak,long,solo,8512,6647,3078,21455,medium
Bangalore,Jaipur,315,7,bus,5-star,5,peak,medium,solo,1351,119841,46014,160967,medium
Mumbai,Jaipur,1278,2,flight,2-star,3,off,short,couple,7610,1645,1856,16643,medium
Mumbai,Delhi,150,7,bus,2-star,1,normal,long,solo,118,5243,2429,7512,low
Chennai,Bangalore,1842,5,bus,5-star,3,peak,long,couple,4959,52704,19401,74237,medium
Kochi,Jaipur,1658,4,flight,5-star,5,normal,medium,couple,18105,52794,23594,141720,high
Bangalore,Goa,1410,1,train,2-star,1,off,long,family,1404,795,320,2964,medium
Mumbai,Delhi,120,2,bus,4-star,1,peak,short,family,105,3854,1862,5605,medium
Mumbai,Pune,1021,3,bus,5-star,4,normal,medium,couple,3305,24281,14472,40476,medium
Delhi,Bangalore,1483,1,flight,3-star,4,peak,medium,couple,14477,4386,2439,31897,high
Hyderabad,Kolkata,1871,7,flight,2-star,2,peak,short,solo,9009,5940,5367,30438,medium
Delhi,Mumbai,1629,4,flight,2-star,4,peak,short,couple,15660,5878,6203,41567,medium
Kolkata,Kochi,191,6,train,3-star,4,normal,long,solo,856,20351,12951,40194,low
Delhi,Bangalore,820,2,flight,2-star,2,normal,medium,solo,3677,895,1412,8955,medium
Mumbai,Jaipur,120,2,bus,4-star,1,normal,medium,solo,94,3507,1707,5110,medium
Bangalore,Jaipur,873,7,flight,5-star,4,off,medium,family,6760,65391,30850,154191,high
Kolkata,Jaipur,1728,1,train,5-star,3,peak,long,solo,6256,13469,3948,27844,high
Pune,Bangalore,400,6,flight,2-star,3,normal,long,couple,2673,8700,6528,26818,low
Jaipur,Bangalore,628,4,flight,3-star,3,normal,medium,solo,4237,11948,6404,33853,medium
Jaipur,Bangalore,1301,4,bus,4-star,2,normal,long,solo,2090,10272,6845,18506,medium
Mumbai,Bangalore,1754,4,flight,4-star,2,peak,short,couple,8541,11386,7605,41241,high
Pune,Bangalore,1677,5,bus,3-star,3,off,medium,couple,3666,14610,7425,24733,low
Jaipur,Mumbai,1832,5,train,2-star,1,peak,medium,couple,2169,4018,1917,9538,low
Bangalore,Kolkata,959,2,bus,5-star,5,normal,medium,family,3756,18365,12377,33179,medium
Goa,Chennai,940,6,train,4-star,2,off,long,solo,1860,16260,9192,32105,medium
Mumbai,Jaipur,1360,2,bus,5-star,5,off,short,family,4868,16046,11065,30789,medium
Chennai,Jaipur,740,2,train,4-star,3,off,short,couple,2172,6369,4551,15408,medium
Mumbai,Bangalore,736,7,bus,3-star,5,peak,medium,couple,3216,40211,21054,62064,low
Jaipur,Delhi,1456,1,flight,4-star,4,normal,long,solo,12735,7118,3481,34941,high
Delhi,Chennai,1309,2,bus,4-star,2,off,short,solo,1903,3119,3036,7761,low
Bangalore,Goa,407,3,flight,5-star,1,peak,medium,family,986,13263,3901,27188,high
Pune,Kolkata,962,2,flight,4-star,3,peak,long,couple,7059,7709,5465,30314,high
